model,cutoff,accept_rate,profit_per_1000
mlp,0.29000000000000004,0.9871389907640994,709334.2310247115
mlp,0.3,0.9972405362051543,705779.8239031043
mlp,0.31,0.9995618777073484,705216.9973076679
mlp,0.32,0.9995618777073484,705216.9973076679
mlp,0.33,0.9995618777073484,705216.9973076679
mlp,0.34,0.9995618777073484,705216.9973076679
mlp,0.35000000000000003,0.9995618777073484,705216.9973076679
mlp,0.36000000000000004,0.9995618777073484,705216.9973076679
mlp,0.37,0.9995618777073484,705216.9973076679
mlp,0.38,0.9995618777073484,705216.9973076679
mlp,0.39,0.9996148763717821,705165.5284320168
mlp,0.4,0.9996148763717821,705165.5284320168
mlp,0.41000000000000003,0.9996148763717821,705165.5284320168
mlp,0.42000000000000004,0.9996148763717821,705165.5284320168
mlp,0.43,0.9996148763717821,705165.5284320168
mlp,0.44,0.9996148763717821,705165.5284320168
mlp,0.45,0.9996148763717821,705165.5284320168
mlp,0.46,0.9999611343127487,705128.3748136214
mlp,0.47000000000000003,0.9999611343127487,705128.3748136214
mlp,0.48000000000000004,0.9999611343127487,705128.3748136214
mlp,0.49,0.9999611343127487,705128.3748136214
mlp,0.5,0.9999894002671132,705140.758976207
mlp,0.51,0.9999894002671132,705140.758976207
mlp,0.52,0.9999894002671132,705140.758976207
mlp,0.53,0.9999894002671132,705140.758976207
mlp,0.54,0.9999894002671132,705140.758976207
mlp,0.55,0.9999894002671132,705140.758976207
mlp,0.56,0.9999894002671132,705140.758976207
mlp,0.5700000000000001,0.9999894002671132,705140.758976207
mlp,0.5800000000000001,0.9999894002671132,705140.758976207
mlp,0.59,0.9999894002671132,705140.758976207
mlp,0.6,0.9999894002671132,705140.758976207
mlp,0.61,0.9999894002671132,705140.758976207
mlp,0.62,0.9999894002671132,705140.758976207
mlp,0.63,0.9999894002671132,705140.758976207
mlp,0.64,0.9999894002671132,705140.758976207
mlp,0.65,0.9999894002671132,705140.758976207
mlp,0.66,0.9999894002671132,705140.758976207
mlp,0.67,0.9999894002671132,705140.758976207
mlp,0.68,0.9999894002671132,705140.758976207
mlp,0.6900000000000001,0.9999894002671132,705140.758976207
mlp,0.7000000000000001,0.9999894002671132,705140.758976207
mlp,0.7100000000000001,0.9999894002671132,705140.758976207
mlp,0.72,0.9999894002671132,705140.758976207
mlp,0.73,0.9999894002671132,705140.758976207
mlp,0.74,0.9999894002671132,705140.758976207
mlp,0.75,0.9999894002671132,705140.758976207
mlp,0.76,0.9999894002671132,705140.758976207
mlp,0.77,0.9999894002671132,705140.758976207
mlp,0.78,0.9999894002671132,705140.758976207
mlp,0.79,0.9999894002671132,705140.758976207
mlp,0.8,0.9999894002671132,705140.758976207
mlp,0.81,0.9999894002671132,705140.758976207
mlp,0.8200000000000001,0.9999894002671132,705140.758976207
mlp,0.8300000000000001,0.9999894002671132,705140.758976207
mlp,0.8400000000000001,0.9999894002671132,705140.758976207
mlp,0.85,0.9999894002671132,705140.758976207
mlp,0.86,0.9999894002671132,705140.758976207
mlp,0.87,0.9999894002671132,705140.758976207
mlp,0.88,0.9999894002671132,705140.758976207
mlp,0.89,0.9999894002671132,705140.758976207
